,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,kruisfontein,-34.0033,24.7314,60.89,21,0,7.14,ZA,1623001556
137,ilhabela,-23.7781,-45.3581,77.25,65,100,7.43,BR,1623001892
138,krasnyy yar,46.5331,48.3456,71.53,44,50,9.15,RU,1623001892
139,sungaipenuh,-2.0833,101.3833,62.78,97,70,1.43,ID,1623001892
140,mogadishu,2.0371,45.3438,79.29,85,98,20.87,SO,1623001893
141,nikolskoye,59.7035,30.7861,67.89,64,15,6.02,RU,1623001534
142,freeport,40.6576,-73.5832,98.49,49,1,1.99,US,1623001694
143,winslow,35.0242,-110.6974,88.97,11,1,4.0,US,1623001893
144,hobart,-42.8794,147.3294,55.26,78,90,1.99,AU,1623001811
145,burgersdorp,-30.9977,26.3286,46.2,39,0,6.11,ZA,1623001893
146,jalu,29.0331,21.5482,84.13,19,0,6.89,LY,1623001894
147,dali,25.7,100.1833,63.36,88,67,4.9,CN,1623001894
148,mitsamiouli,-11.3847,43.2844,79.03,68,57,15.73,KM,1623001575
149,hlukhiv,51.6782,33.9162,56.5,93,78,6.4,UA,1623001894
150,arinos,-15.9169,-46.1056,86.99,32,99,6.24,BR,1623001895
151,gaya,24.7833,85.0,85.91,70,3,0.0,IN,1623001895
152,ceres,37.5949,-120.9577,89.56,35,1,9.22,US,1623001895
153,vredendal,-31.6683,18.5012,70.5,24,5,18.05,ZA,1623001896
154,severo-kurilsk,50.6789,156.125,40.66,95,94,8.81,RU,1623001896
155,belaya gora,68.5333,146.4167,38.35,86,100,7.74,RU,1623001896
156,san quintin,30.4833,-115.95,66.2,62,84,8.79,MX,1623001896
157,antofagasta,-23.65,-70.4,61.88,71,4,8.28,CL,1623001897
158,kollam,8.8833,76.6,82.27,85,88,6.91,IN,1623001897
159,walla walla,46.0646,-118.343,58.69,49,1,5.01,US,1623001828
160,port keats,-14.25,129.55,65.95,37,74,7.09,AU,1623001897
161,poum,-20.2333,164.0167,72.63,61,96,18.63,NC,1623001653
162,dingle,10.9995,122.6711,76.59,85,100,1.92,PH,1623001898
163,alofi,-19.0595,-169.9187,60.69,100,79,1.14,NU,1623001898
164,moose factory,51.2585,-80.6094,73.38,53,1,8.05,CA,1623001898
165,new norfolk,-42.7826,147.0587,54.91,83,100,1.01,AU,1623001561
166,nuevitas,21.5453,-77.2644,83.8,73,59,16.46,CU,1623001898
167,jerantut,3.936,102.3626,73.36,98,99,1.68,MY,1623001899
168,constitucion,-35.3333,-72.4167,55.71,53,91,8.48,CL,1623001641
169,port blair,11.6667,92.75,83.95,78,96,12.46,IN,1623001808
